player_name,slug,player_status,career_g,career_pts,career_trb,career_ast,career_stl,career_blk,career_tov,career_mp,career_fg_pct,career_fg3_pct,career_ft_pct,career_per,career_ts_pct,career_efg_pct,career_ws,career_ws_per48,career_bpm,career_vorp,career_obpm,career_dbpm,career_ppg,career_rpg,career_apg,career_spg,career_bpg,career_topg,career_mpg,mvp,dpoy,finals_mvp,all_nba_1st,all_nba_2nd,all_nba_3rd,championships,allstar,honors_index,is_benchmark,career_bpm_imputed,career_vorp_imputed,adj_career_pts,adj_career_trb,adj_career_ast,adj_career_stl,adj_career_blk,adj_career_ppg,adj_career_rpg,adj_career_apg,adj_career_efg_pct,adj_career_ts_pct,adj_career_ws,avg_pace_factor,avg_ppg_factor,avg_efg_factor,min_season_year,max_season_year,n_seasons
Dikembe Mutombo,mutomdi01,historical,1196.0,11729.0,12359.0,1240.0,494.0,3289.0,2173.0,36791.0,0.518,0.0,0.684,17.2,0.573,,117.0,0.153,1.7,33.9,-0.1,1.8,9.80685618729097,10.33361204013378,1.0367892976588629,0.41304347826086957,2.75,1.8168896321070234,30.76170568561873,0.0,4.0,0.0,0.0,3.0,3.0,0.0,8.0,16.5,False,False,False,12623.96,13631.38,1317.86,528.27,3531.88,9.57,10.26,0.95,0.54,0.61,128.07,1.0351227671391763,1.1085353729142742,1.0801661415331394,1991.0,2008.0,20
Bob McAdoo,mcadobo01,historical,852.0,18787.0,8048.0,1951.0,751.0,1147.0,1223.0,28327.0,0.503,0.081,0.754,20.7,0.551,,89.1,0.151,2.2,27.2,2.4,-0.2,22.050469483568076,9.446009389671362,2.289906103286385,0.8814553990610329,1.346244131455399,1.4354460093896713,33.247652582159624,1.0,0.0,0.0,2.0,1.0,0.0,2.0,5.0,18.5,False,False,False,21038.03,9019.19,2211.53,864.78,1254.73,19.35,8.02,2.13,0.57,0.62,98.95,0.9448976817782391,1.0077786719405284,1.1859835068562619,1972.0,1985.0,20
Artis Gilmore,gilmoar01,historical,1329.0,24941.0,16330.0,3050.0,723.0,3178.0,3926.0,47134.0,0.582,0.15,0.698,21.4,0.623,,189.7,0.193,3.1,51.6,2.4,0.8,18.766741911211437,12.287434161023326,2.2949586155003763,0.5440180586907449,2.3912716328066215,2.9541008276899925,35.46576373212942,0.0,0.0,0.0,2.0,4.0,0.0,0.0,11.0,13.5,False,False,False,23905.85,15696.97,2906.78,700.32,3048.21,16.5,10.5,1.94,0.66,0.7,181.04,0.9440846317817819,1.0068319371593668,1.1674021737291171,1971.0,1987.0,19
Sidney Moncrief,moncrsi01,historical,767.0,11931.0,3575.0,2793.0,924.0,228.0,1551.0,23150.0,0.502,0.284,0.831,18.7,0.591,,90.3,0.187,3.7,33.1,3.2,0.5,15.555410691003912,4.661016949152542,3.6414602346805736,1.2046936114732725,0.29726205997392435,2.0221642764015644,30.18252933507171,0.0,2.0,0.0,1.0,3.0,0.0,0.0,5.0,11.5,False,False,False,11369.71,3398.51,2657.3,878.23,216.65,14.86,4.28,3.42,0.56,0.64,86.26,0.9438214402139299,1.0160041467451701,1.1115170755109027,1979.0,1990.0,11
Jack Sikma,sikmaja01,historical,1107.0,17287.0,10816.0,3488.0,1162.0,1048.0,2586.0,36943.0,0.464,0.328,0.849,17.3,0.54,,112.5,0.146,2.0,37.0,0.9,1.1,15.616079494128275,9.770551038843722,3.1508581752484193,1.0496838301716351,0.9467028003613369,2.3360433604336044,33.37217705510388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,16283.13,10180.32,3280.58,1093.28,987.23,15.17,9.17,2.97,0.53,0.6,105.91,0.9390508445524691,1.0113728373783364,1.126212894267582,1977.0,1990.0,14
Dennis Johnson,johnsde01,historical,1100.0,15535.0,4249.0,5499.0,1477.0,675.0,2448.0,35954.0,0.445,0.172,0.797,14.6,0.511,,82.6,0.11,0.7,24.3,0.3,0.4,14.122727272727273,3.862727272727273,4.999090909090909,1.3427272727272728,0.6136363636363636,2.2254545454545456,32.68545454545455,0.0,1.0,0.0,0.0,3.0,2.0,3.0,5.0,17.5,False,False,False,14639.22,3999.66,5174.85,1387.95,633.81,13.64,3.62,4.73,0.51,0.58,77.98,0.9402227029994459,1.0101619581668388,1.138151069234562,1976.0,1989.0,14
Maurice Cheeks,cheekma01,historical,1101.0,12195.0,3088.0,7392.0,2310.0,294.0,2268.0,34845.0,0.523,0.255,0.793,16.5,0.572,,103.5,0.143,2.8,42.1,1.2,1.6,11.076294277929156,2.8047229791099,6.713896457765667,2.0980926430517712,0.2670299727520436,2.0599455040871937,31.64850136239782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,12213.22,3121.88,7374.87,2290.8,287.02,10.24,2.56,6.01,0.57,0.62,104.06,0.9374910858615503,1.0157732222909936,1.1073051991770766,1978.0,1992.0,17
Bobby Jones,jonesbo01,historical,941.0,11391.0,5739.0,2522.0,1387.0,1319.0,1683.0,25728.0,0.56,0.0,0.766,18.2,0.607,,94.1,0.175,4.3,41.0,2.0,2.3,12.105207226354942,6.098831030818278,2.680127523910733,1.4739638682252922,1.4017003188097767,1.7885228480340063,27.341126461211477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,10777.81,5426.72,2390.61,1312.75,1248.17,11.67,5.7,2.52,0.63,0.69,88.86,0.9482587093649922,1.0121869715403853,1.1723198445668208,1974.0,1985.0,12
Spencer Haywood,haywosp01,historical,844.0,17111.0,8675.0,1541.0,355.0,629.0,969.0,29408.0,0.469,0.053,0.796,19.1,0.521,,78.5,0.128,-0.3,7.7,0.5,-0.8,20.273696682464454,10.278436018957345,1.8258293838862558,0.4206161137440758,0.745260663507109,1.1481042654028435,34.843601895734594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,17459.56,8677.46,1570.57,373.02,670.85,19.0,9.1,1.67,0.56,0.62,78.17,0.9400214718250418,1.000502837439925,1.225516795190339,1969.0,1982.0,15
Connie Hawkins,hawkico01,historical,616.0,11528.0,5450.0,2556.0,244.0,150.0,355.0,22232.0,0.479,0.161,0.779,19.9,0.55,,76.7,0.166,1.4,4.9,0.5,0.9,18.714285714285715,8.847402597402597,4.14935064935065,0.3961038961038961,0.2435064935064935,0.5762987012987013,36.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,11734.19,5643.46,2791.49,342.5,221.59,16.73,7.83,3.9,0.58,0.65,78.4,0.9440011249584679,0.9896183254791258,1.2548100031608076,1967.0,1975.0,11
