player_name,slug,player_status,season_year,season_start_year,season_age,team_name_abbr,pos,season_g,season_mp,season_pts,season_trb,season_ast,season_stl,season_blk,season_ppg,season_rpg,season_apg,season_per,season_ts_pct,season_ws,season_ws_per48,season_bpm,season_vorp,season_obpm,season_dbpm,season_fg_pct,season_efg_pct,lg_pace,lg_efg_pct,lg_ppg,lg_tpar,pace_factor,efg_factor,ppg_factor,tpar_factor,adj_season_pts,adj_season_trb,adj_season_ast,adj_season_stl,adj_season_blk,adj_season_ppg,adj_season_rpg,adj_season_apg,lg_efg_pct_safe,efg_surplus,adj_season_efg_pct,lg_ts_proxy,ts_surplus,adj_season_ts_pct,lg_ppg_safe,ppg_relative,adj_season_ppg_inflation,adj_season_ppg_blended,adj_season_ws,adj_season_vorp
Michael Jordan,jordami01,historical,1984-85,1984.0,21.0,CHI,SG,82.0,3144.0,2313.0,534.0,481.0,196.0,69.0,28.20731707317073,6.512195121951219,5.865853658536586,25.8,0.592,14.0,0.213,7.3,7.4,5.8,1.5,0.515,0.518,102.2,0.471,107.4,0.039,0.9627201565557729,1.1072186836518048,1.0208566108007449,9.284615384615384,2226.7717221135026,514.0925636007828,463.0683953033268,188.69315068493148,66.42769080234834,27.155752708701254,6.269421507326618,5.647175552479595,0.471,0.04700000000000004,0.5685,0.49926,0.09273999999999999,0.6455299999999999,107.4,0.26263796157514646,28.79562610709906,27.811702068060377,13.478082191780821,7.4
Michael Jordan,jordami01,historical,1985-86,1985.0,22.0,CHI,SG,18.0,451.0,408.0,64.0,53.0,37.0,21.0,22.666666666666668,3.5555555555555554,2.9444444444444446,27.5,0.533,1.5,0.16,9.7,1.3,7.5,2.2,0.457,0.462,102.1,0.474,110.1,0.046,0.9636630754162586,1.100210970464135,0.9958219800181655,7.871739130434782,393.17453476983354,61.67443682664055,51.074142997061706,35.65553379040157,20.23692458374143,21.843029709435196,3.4263576014800305,2.8374523887256506,0.474,-0.011999999999999955,0.5095000000000001,0.50244,0.03056000000000003,0.58335,110.1,0.2058734483802604,22.571964880411752,22.13460377782582,1.445494613124388,1.3
Michael Jordan,jordami01,historical,1986-87,1986.0,23.0,CHI,SG,82.0,3281.0,3041.0,430.0,377.0,236.0,125.0,37.08536585365854,5.2439024390243905,4.597560975609756,29.8,0.562,16.9,0.247,10.8,10.6,8.4,2.4,0.482,0.484,103.8,0.476,109.2,0.05,0.9478805394990366,1.0955882352941175,1.0040293040293042,7.241999999999999,2882.5047206165705,407.58863198458573,357.3509633911368,223.69980732177265,118.48506743737957,35.15249659288501,4.970593072982753,4.3579385779406925,0.476,0.008000000000000007,0.5295,0.50456,0.05744000000000005,0.61023,109.2,0.33960957741445547,37.234794067720905,35.98541558281937,16.019181117533716,10.6
Michael Jordan,jordami01,historical,1987-88,1987.0,24.0,CHI,SG,82.0,3311.0,2868.0,449.0,485.0,259.0,131.0,34.97560975609756,5.475609756097561,5.914634146341464,31.7,0.603,21.2,0.308,13.0,12.5,8.8,4.2,0.535,0.537,107.0,0.48,109.9,0.058,0.9195327102803739,1.0864583333333333,0.9976342129208372,6.243103448275861,2637.219813084112,412.87018691588787,445.97336448598134,238.15897196261682,120.45878504672898,32.16121723273308,5.035002279462047,5.438699566902212,0.48,0.05700000000000005,0.5785,0.5088,0.09419999999999995,0.64699,109.9,0.31824940633391774,34.89286491045075,33.25387630382015,19.494093457943926,12.5
Michael Jordan,jordami01,historical,1988-89,1988.0,25.0,CHI,SG,81.0,3255.0,2633.0,652.0,650.0,234.0,65.0,32.50617283950617,8.049382716049383,8.024691358024691,31.1,0.614,19.8,0.292,11.9,11.4,8.4,3.4,0.538,0.546,107.0,0.481,108.5,0.059,0.9195327102803739,1.0841995841995842,1.0105069124423964,6.13728813559322,2421.1296261682246,599.5353271028038,597.6962616822431,215.1706542056075,59.7696261682243,29.890489211953387,7.4016707049728865,7.378966193607939,0.481,0.06500000000000006,0.5865,0.50986,0.10414000000000001,0.65693,108.5,0.2995960630369232,32.847712351368266,31.073378467719337,18.206747663551404,11.4
Michael Jordan,jordami01,historical,1989-90,1989.0,26.0,CHI,SG,82.0,3197.0,2753.0,565.0,519.0,227.0,54.0,33.573170731707314,6.890243902439025,6.329268292682927,31.2,0.606,19.0,0.285,11.2,10.6,9.1,2.1,0.526,0.55,107.3,0.484,109.0,0.069,0.9169617893755825,1.077479338842975,1.0058715596330277,5.247826086956521,2524.3958061509784,518.083410997204,475.9031686859273,208.15032618825722,49.51593662628145,30.78531470915827,6.318090378014684,5.803697179096674,0.484,0.06600000000000006,0.5875,0.51304,0.09295999999999993,0.6457499999999999,109.0,0.30801074065786527,33.77029760572835,31.979307867786304,17.422273998136067,10.6
Michael Jordan,jordami01,historical,1990-91,1990.0,27.0,CHI,SG,82.0,3034.0,2580.0,492.0,453.0,223.0,83.0,31.463414634146343,6.0,5.524390243902439,31.6,0.605,20.3,0.321,12.0,10.8,8.9,3.2,0.539,0.547,107.7,0.488,107.0,0.08,0.9135561745589601,1.0686475409836065,1.0246728971962618,4.526249999999999,2356.974930362117,449.4696378830084,413.84094707520893,203.7230269266481,75.82516248839369,28.743596711733137,5.481337047353761,5.046840817990352,0.488,0.05900000000000005,0.5805,0.51728,0.08772000000000002,0.64051,107.0,0.29405060405744243,32.23970822885799,30.142041318583082,18.545190343546892,10.8
Michael Jordan,jordami01,historical,1991-92,1991.0,28.0,CHI,SG,80.0,3102.0,2404.0,511.0,489.0,182.0,75.0,30.05,6.3875,6.1125,27.7,0.579,17.7,0.274,9.7,9.2,7.2,2.5,0.519,0.526,105.3,0.488,104.6,0.08,0.9343779677113011,1.0686475409836065,1.0481835564053539,4.526249999999999,2246.244634377968,477.46714150047484,456.91082621082626,170.0567901234568,70.07834757834759,28.078057929724597,5.968339268755936,5.711385327635328,0.488,0.038000000000000034,0.5595,0.51728,0.06172,0.61451,104.6,0.2872848948374761,31.497915869980883,29.446001105827108,16.538490028490028,9.2
Michael Jordan,jordami01,historical,1992-93,1992.0,29.0,CHI,SG,78.0,3067.0,2541.0,522.0,428.0,221.0,61.0,32.57692307692308,6.6923076923076925,5.487179487179487,29.7,0.564,17.2,0.27,11.2,10.2,8.7,2.6,0.495,0.515,103.7,0.489,105.3,0.084,0.948794599807136,1.0664621676891615,1.041215574548908,4.310714285714285,2410.8870781099326,495.270781099325,406.0840887174542,209.68360655737706,57.87647058823529,30.908808693717088,6.3496253987092945,5.206206265608388,0.489,0.026000000000000023,0.5475,0.51834,0.04565999999999992,0.5984499999999999,105.3,0.3093724888596684,33.919599678574045,32.11312508765987,16.319267116682738,10.2
Michael Jordan,jordami01,historical,1994-95,1994.0,31.0,CHI,SG,17.0,668.0,457.0,117.0,90.0,30.0,13.0,26.88235294117647,6.882352941176471,5.294117647058823,22.1,0.493,2.3,0.167,4.2,1.1,3.6,0.6,0.411,0.431,102.7,0.489,101.5,0.114,0.958033106134372,1.0664621676891615,1.0801970443349755,3.176315789473684,437.821129503408,112.08987341772152,86.22297955209348,28.740993184031158,12.454430379746835,25.754184088435764,6.593521965748325,5.071939973652557,0.489,-0.057999999999999996,0.46349999999999997,0.51834,-0.02534000000000003,0.52745,101.5,0.26485076789336426,29.038238191828462,27.067805729792845,2.2034761441090556,1.1
