player_name,slug,player_status,career_g,career_pts,career_trb,career_ast,career_stl,career_blk,career_tov,career_mp,career_fg_pct,career_fg3_pct,career_ft_pct,career_per,career_ts_pct,career_efg_pct,career_ws,career_ws_per48,career_bpm,career_vorp,career_obpm,career_dbpm,career_ppg,career_rpg,career_apg,career_spg,career_bpg,career_topg,career_mpg,mvp,dpoy,finals_mvp,all_nba_1st,all_nba_2nd,all_nba_3rd,championships,allstar,honors_index,is_benchmark,career_bpm_imputed,career_vorp_imputed
David Thompson,thompda01,historical,19.0,240.0,44.0,13.0,10.0,13.0,27.0,349.0,0.539,0.0,0.849,20.0,0.609,,1.0,0.144,1.6,0.4,2.1,-0.5,12.631578947368421,2.3157894736842106,0.6842105263157895,0.5263157894736842,0.6842105263157895,1.4210526315789473,18.36842105263158,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,8.0,False,False,False
Adrian Dantley,dantlad01,historical,,,,,,,,,,,,,,,,,0.8500000000000001,0.7,0.595,0.255,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,6.0,10.0,False,True,True
Dominique Wilkins,wilkido01,historical,27.0,134.0,71.0,16.0,4.0,1.0,23.0,252.0,0.379,0.263,0.69,15.4,0.445,,0.3,0.053,-2.4,0.0,0.0,-2.4,4.962962962962963,2.6296296296296298,0.5925925925925926,0.14814814814814814,0.037037037037037035,0.8518518518518519,9.333333333333334,0.0,0.0,0.0,1.0,5.0,3.0,0.0,9.0,13.0,False,False,False
James Worthy,worthja01,historical,80.0,812.0,181.0,154.0,45.0,18.0,97.0,1597.0,0.406,0.288,0.741,12.8,0.452,,0.1,0.002,-2.9,-0.4,-0.6,-2.3,10.15,2.2625,1.925,0.5625,0.225,1.2125,19.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
Dennis Rodman,rodmade01,historical,12.0,34.0,171.0,14.0,2.0,1.0,19.0,389.0,0.387,0.0,0.714,8.4,0.457,,0.6,0.074,-3.2,-0.1,-2.5,-0.7,2.8333333333333335,14.25,1.1666666666666667,0.16666666666666666,0.08333333333333333,1.5833333333333333,32.416666666666664,0.0,2.0,0.0,0.0,4.0,0.0,5.0,2.0,24.0,False,False,False
Pau Gasol,gasolpa01,historical,,,,,,,,,,,,,,,,,0.8500000000000001,0.7,0.595,0.255,,,,,,,,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,13.5,False,True,True
Tony Parker,parketo01,historical,56.0,530.0,83.0,207.0,21.0,7.0,75.0,1003.0,0.46,0.255,0.734,15.3,0.512,,0.9,0.044,-2.6,-0.1,-0.3,-2.3,9.464285714285714,1.4821428571428572,3.6964285714285716,0.375,0.125,1.3392857142857142,17.910714285714285,0.0,0.0,1.0,0.0,2.0,4.0,4.0,6.0,22.0,False,False,False
Manu Ginobili,ginobma01,historical,65.0,576.0,142.0,163.0,43.0,16.0,105.0,1299.0,0.434,0.333,0.84,12.9,0.553,,2.2,0.082,-1.3,0.2,-1.5,0.2,8.861538461538462,2.1846153846153844,2.5076923076923077,0.6615384615384615,0.24615384615384617,1.6153846153846154,19.984615384615385,0.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,15.5,False,False,False
Draymond Green,greendr01,active,54.0,463.0,299.0,286.0,44.0,33.0,141.0,1464.0,0.418,0.331,0.698,10.3,0.539,,1.4,0.046,-1.5,0.2,-2.5,1.1,8.574074074074074,5.537037037037037,5.296296296296297,0.8148148148148148,0.6111111111111112,2.611111111111111,27.11111111111111,0.0,1.0,0.0,0.0,1.0,3.0,4.0,4.0,18.5,False,False,False
Klay Thompson,thompkl01,active,58.0,688.0,132.0,79.0,30.0,16.0,56.0,1276.0,0.394,0.384,0.75,11.5,0.542,,0.6,0.023,-1.3,0.2,0.0,-1.3,11.862068965517242,2.2758620689655173,1.3620689655172413,0.5172413793103449,0.27586206896551724,0.9655172413793104,22.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,17.5,False,False,False
Russell Westbrook,westbru01,active,61.0,943.0,332.0,398.0,78.0,10.0,201.0,1765.0,0.431,0.343,0.711,15.2,0.533,,0.4,0.011,-0.4,0.7,0.7,-1.1,15.459016393442623,5.442622950819672,6.524590163934426,1.278688524590164,0.16393442622950818,3.2950819672131146,28.934426229508198,1.0,0.0,0.0,2.0,5.0,5.0,0.0,9.0,21.0,False,False,False
James Harden,hardeja01,active,12.0,242.0,60.0,94.0,6.0,6.0,39.0,401.0,0.487,0.451,0.803,19.1,0.654,,1.4,0.167,5.0,0.7,5.3,-0.3,20.166666666666668,5.0,7.833333333333333,0.5,0.5,3.25,33.416666666666664,1.0,0.0,0.0,6.0,4.0,3.0,0.0,10.0,27.5,False,False,False
Damian Lillard,lillada01,active,58.0,1447.0,272.0,410.0,70.0,10.0,162.0,2093.0,0.448,0.376,0.921,21.3,0.621,,7.6,0.175,4.0,3.2,4.7,-0.6,24.948275862068964,4.689655172413793,7.068965517241379,1.206896551724138,0.1724137931034483,2.793103448275862,36.08620689655172,0.0,0.0,0.0,2.0,3.0,2.0,0.0,7.0,11.5,False,False,False
Devin Booker,bookede01,active,50.0,1264.0,201.0,304.0,45.0,14.0,160.0,1669.0,0.45,0.326,0.872,20.1,0.579,,4.8,0.139,1.9,1.6,2.9,-1.0,25.28,4.02,6.08,0.9,0.28,3.2,33.38,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,6.0,False,False,False
Luka Doncic,doncilu01,active,54.0,1774.0,427.0,457.0,82.0,29.0,215.0,1918.0,0.475,0.367,0.776,27.9,0.616,,8.1,0.202,9.1,5.4,7.9,1.2,32.851851851851855,7.907407407407407,8.462962962962964,1.5185185185185186,0.5370370370370371,3.9814814814814814,35.51851851851852,0.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,12.5,False,False,False
Giannis Antetokounmpo,antetgi01,active,35.0,962.0,338.0,188.0,34.0,24.0,114.0,1016.0,0.628,0.333,0.648,32.4,0.661,,5.0,0.234,9.4,2.9,7.6,1.9,27.485714285714284,9.657142857142857,5.371428571428571,0.9714285714285714,0.6857142857142857,3.257142857142857,29.02857142857143,2.0,1.0,1.0,5.0,2.0,2.0,1.0,9.0,35.5,False,False,False
